,"∆RF-1/2/3/, ∆RRF, ∆EF-G_1","∆RF-1/2/3/, ∆RRF_1",∆RF-1/2/3/_1,∆RF-1/3_1,∆RF-2/3_1,"∆RF-3, ∆RRF_1","∆RF-3, ∆EF-G_1",∆RF-3_1,"∆RF-1/2/3/, ∆RRF, ∆EF-G_2","∆RF-1/2/3/, ∆RRF_2",∆RF-1/2/3/_2,∆RF-1/3_2,∆RF-2/3_2,"∆RF-3, ∆RRF_2","∆RF-3, ∆EF-G_2",∆RF-3_2,"∆RF-1/2/3/, ∆RRF, ∆EF-G_3","∆RF-1/2/3/, ∆RRF_3",∆RF-1/2/3/_3,∆RF-1/3_3,∆RF-2/3_3,"∆RF-3, ∆RRF_3","∆RF-3, ∆EF-G_3",∆RF-3_3,RF-1/2 >> prfA_1,RRF >> frr_1,EF-G >> fusA_1,"RRF >> frr, EF-G >>fusA_1","RF-1/2 >> prfA, RRF >> frr_1","EF-G >> fusA, RF-1/2 >> prfA_1","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_1",RF-1/2 >> prfA_2,RRF >> frr_2,EF-G >> fusA_2,"RRF >> frr, EF-G >>fusA_2","RF-1/2 >> prfA, RRF >> frr_2","EF-G >> fusA, RF-1/2 >> prfA_2","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_2",RF-1/2 >> prfA_3,RRF >> frr_3,EF-G >> fusA_3,"RRF >> frr, EF-G >>fusA_3","RF-1/2 >> prfA, RRF >> frr_3","EF-G >> fusA, RF-1/2 >> prfA_3","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_3"
1,4900.83333,5038.66667,4991.5,4613.83333,5017,4465,4763.5,5088.16667,5021.83333,5077,5209,5055.83333,5150.66667,5077.16667,5119.33333,5188.83333,5078.66667,5068.5,5088.66667,5113.16667,4915.16667,4791.66667,4790.16667,4967.66667,4928.83333,4941.33333,5123.66667,5055.33333,4905.33333,4869.66667,4885.5,5033.16667,4838.33333,4837.66667,4860.16667,5018,4950.16667,4773.16667,5380.5,5000.5,4620.16667,4524.5,4923.33333,4591.33333,4781
2,4928.94444,5070.55556,5013.83333,4624.27778,5019.33333,4535,4729.5,5082.05556,4977.94444,5060.33333,5208,5099.94444,5157.22222,5018.38889,5074.11111,5145.61111,5103.22222,5080.5,5088.22222,5120.05556,4904.72222,4787.88889,4797.72222,4967.55556,4920.27778,4948.44444,5144.88889,5057.44444,4914.44444,4893.88889,4905.83333,5059.38889,4874.44444,4876.55556,4866.72222,4997.66667,4916.05556,4791.38889,5411.83333,5044.5,4648.38889,4502.16667,4855.44444,4586.11111,4809.66667
3,4955.98148,5071.85185,5031.61111,4607.42593,5028.11111,4614.33333,4721.16667,5087.01852,4952.98148,5036.77778,5214.33333,5114.98148,5144.07407,4979.12963,5069.7037,5144.87037,5098.74074,5069.5,5084.07407,5131.35185,4898.90741,4807.2963,4813.90741,4967.51852,4914.42593,4953.48148,5135.96296,5046.81481,4947.48148,4900.62963,4936.27778,5096.46296,4921.14815,4904.18519,4879.24074,4972.88889,4900.35185,4818.46296,5443.94444,5065.5,4668.7963,4495.05556,4839.48148,4608.37037,4823.22222
4,4975.66049,5078.61728,5060.2037,4588.47531,5019.37037,4625.77778,4753.05556,5111.33951,4964.99383,5043.25926,5203.77778,5112.32716,5112.69136,4991.04321,5078.5679,5144.95679,5104.24691,5046.16667,5086.35802,5146.78395,4905.30247,4843.76543,4807.96914,4972.50617,4929.47531,4963.16049,5137.65432,5037.60494,4966.82716,4912.20988,4942.42593,5120.82099,4925.04938,4894.39506,4901.74691,5007.2963,4910.11728,4840.82099,5479.98148,5071.16667,4672.9321,4494.35185,4834.49383,4605.45679,4822.40741
5,4969.88683,5075.87243,5068.73457,4576.8251,5003.12346,4623.59259,4780.68519,5128.77984,4994.33128,5051.41975,5220.59259,5117.77572,5103.23045,5005.68107,5057.52263,5122.9856,5111.74897,5045.72222,5123.11934,5142.26132,4910.10082,4866.25514,4782.32305,4967.50206,4946.8251,4985.0535,5151.21811,5070.20165,4979.27572,4939.40329,4958.80864,5119.94033,4930.01646,4889.46502,4909.5823,5042.4321,4918.70576,4834.27366,5471.99383,5078.05556,4684.3107,4498.11728,4824.49794,4585.15226,4836.1358
6,4967.29561,5077.62414,5061.91152,4602.60837,4994.70782,4644.8642,4785.56173,5140.25995,5013.44376,5055.80658,5243.8642,5145.59191,5116.41015,5015.22702,5063.84088,5111.32853,5134.24966,5039.57407,5150.03978,5147.75377,4894.03361,4859.41838,4797.77435,4969.83402,4974.9417,4974.35117,5164.73937,5092.73388,4982.42524,4958.8011,4986.26955,5129.31344,4959.00549,4904.15501,4892.52743,5036.14403,4914.56859,4827.42455,5464.33128,5082.68519,4706.77023,4504.70576,4823.49931,4579.05075,4857.04527
7,4964.7652,5075.20805,5075.63717,4630.86946,5010.23594,4648.6214,4778.85391,5151.75332,5003.48125,5074.93553,5248.95473,5181.1973,5136.80338,5015.40901,5089.61363,5142.77618,5151.74989,5053.85802,5161.01326,5178.25126,4891.0112,4849.80613,4816.92478,4985.27801,5006.98057,4966.45039,5181.57979,5099.24463,5003.80841,4962.60037,4987.75652,5181.77115,4983.33516,4921.71834,4890.17581,5051.71468,4925.52286,4847.14152,5488.11043,5077.2284,4707.25674,4521.23525,4850.8331,4613.35025,4848.68176
8,4967.5884,5071.73602,5090.54572,4668.62315,5047.07865,4659.20713,4792.9513,5221.91777,4996.16042,5110.31184,5250.98491,5182.73243,5164.93446,5022.46967,5114.20454,5226.59206,5137.91663,5095.28601,5167.33775,5190.75042,4907.6704,4843.26871,4814.97493,5009.426,5071.99352,4997.48346,5201.85993,5114.41488,5051.6028,4937.53346,5017.58551,5249.25705,5007.44505,4949.57278,4886.72527,5098.57156,4925.17429,4854.04717,5524.03681,5102.40947,4688.75225,4530.74508,4878.94437,4632.11675,4852.56059
9,4960.52947,5068.24534,5084.18191,4727.54105,5132.35955,4693.40238,4803.65043,5291.30592,5005.05347,5112.77061,5249.3283,5217.24414,5196.31149,5072.82322,5113.40151,5287.86402,5145.30554,5112.42867,5169.44592,5223.25014,4948.22347,4859.75624,4800.65831,5046.47533,5151.99784,5032.82782,5227.28664,5129.13829,5108.20093,4936.84449,5055.19517,5351.08568,5031.81502,4979.52426,4922.24176,5156.19052,4920.72476,4877.01572,5582.01227,5133.13649,4695.25075,4524.91503,4889.64812,4654.03892,4864.85353
10,4948.84316,5072.41511,5099.06064,4799.84702,5236.78652,4721.80079,4769.88348,5354.76864,4984.68449,5076.92354,5223.10943,5285.41471,5260.10383,5114.27441,5071.8005,5323.28801,5159.76851,5100.47622,5190.14864,5280.75005,4978.74116,4929.25208,4799.55277,5122.82511,5254.66595,5067.94261,5254.76221,5161.0461,5202.06698,4979.94816,5093.06506,5490.36189,5068.27167,5016.50809,4983.41392,5207.73017,4934.57492,4956.67191,5685.00409,5177.0455,4725.41692,4505.63834,4930.54937,4677.01297,4890.28451
